2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:29 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:30 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
